x,y,yhat,baseline,residual,Lcore,alpha,gamma_tr,Epair_star,Rcore,mode_1,mode_2,mode_3
11.1,0.001719166666666642,0.0015860210111511672,0.00028300475155667074,0.0001331456555154749,0.9826234606828664,0.9826234606828664,0.5501506848261388,0.050560219500440616,1240.893531614619,0.001229963268493238,7.281745763521185e-05,2.3553346604670306e-07
11.15,0.0017483333333333146,0.0015846546490884458,0.00028301247944424724,0.00016367868424486888,0.9815872395211508,0.9815872395211508,0.5498257149313697,0.05053186311849442,1240.1975842614488,0.0012283875922442563,7.301855543131079e-05,2.3602196863142265e-07
11.2,0.0017933333333333135,0.0015832514977508919,0.00028302021650457066,0.0002100818355824216,0.9805232681163804,0.9805232681163804,0.5494917280914575,0.05050271816652931,1239.48228312688,0.0012267743334461062,7.322043580799293e-05,2.3651199222213772e-07
11.25,0.0017641666666666407,0.0015818118727282616,0.00028302796273764117,0.00018235479393837904,0.9794317844593674,0.9794317844593674,0.5491487737406134,0.05047278881368302,1238.74773053357,0.0012251238039205701,7.34231025269117e-05,2.3700354313848897e-07
11.3,0.0017041666666666178,0.0015803360955408232,0.00028303571814345866,0.00012383057112579456,0.9783130310132097,0.9783130310132097,0.5487969022962925,0.05044207931208483,1237.9940308410285,0.0012234363213995752,7.36265593700564e-05,2.3749662773296654e-07
11.35,0.0016374999999999584,0.0015788244934924899,0.0002830434827220232,5.8675506507468566e-05,0.9771672546025354,0.9771672546025354,0.5484361651460941,0.05041059399581003,1237.2212904199569,0.0012217122093782131,7.383081013986256e-05,2.3799125239111454e-07
11.4,0.001614999999999996,0.001577277399522231,0.0002830512564733347,3.772260047776497e-05,0.9759947063014505,0.9759947063014505,0.5480666146344366,0.050378337279815874,1236.4296176261328,0.0012199517969660417,7.403585865932297e-05,2.384874235317375e-07
11.45,0.001611666666666715,0.0015756951520538851,0.0002830590393973932,3.597151461282987e-05,0.97479564132028,0.97479564132028,0.5476883040490172,0.05034531365885987,1235.6191227738618,0.0012181554187367855,7.424170877209905e-05,2.3898514760710914e-07
11.5,0.0015841666666667198,0.0015740780948444988,0.0002830668314941988,1.0088571822220978e-05,0.973570318891199,0.973570318891199,0.547301287607062,0.050311527706401016,1234.7899181090113,0.001216323414576564,7.444836434263262e-05,2.3948443110318106e-07
11.55,0.0015783333333333853,0.0015724265768313123,0.00028307463276375136,5.906756502072974e-06,0.9723190021528414,0.9723190021528414,0.5469056204413726,0.050276984073484084,1233.942117781627,0.0012144561295307631,7.465582925625818e-05,2.3998528053979456e-07
